name,desc,year,wiki_url,en,cat,inv,sig,id,outEdges
走马灯,中国古代一种利用热气流驱动的旋转灯。秦汉时期已有记载，汉代晚期工匠丁缓制作'九层博山香垆'为早期实例。通过蜡烛或油灯加热，使顶部叶片旋转带动纸筒，呈现动态图案，常用于娱乐和宗教仪式，后世多有仿制。,-121,https://zh.wikipedia.org/wiki/%E8%B5%B0%E9%A9%AC%E7%81%AF,Chinese Zoetrope Lantern,craft,丁缓,利用热气流驱动旋转，用于娱乐和宗教仪式，体现早期机械原理,chinese_zoetrope_lantern,[]
科举,中国古代选拔官员的制度。起源于隋朝，向非商阶级男性开放，成为全国任官必要条件。宋代扩大规模，采用誊录等方法确保公平，对仕绅阶层影响深远。,581,https://zh.wikipedia.org/wiki/%E7%A7%91%E4%B8%BE,Imperial Examination System,culture,隋朝,开创官员选拔新制度，影响中国社会结构千年,imperial_examination_system,[]
盘山渠道,秦始皇统一后，命令史禄开凿灵渠，连接湘江和漓江，用于向南输送粮草以征服百越。据《史记》记载，这是世界上最古老的盘山渠道，沿山鞍轮廓开凿，后期有36道陡门。,-221,https://zh.wikipedia.org/w/index.php?title=%E7%9B%98%E5%B1%B1%E6%B8%A0%E9%81%93&action=edit&redlink=1,Mountain Contour Canal,engineering,史禄,连接湘江与漓江，用于输送粮草，促进南方统一与水利工程发展,mountain_contour_canal,[]
连弩,连弩是中国古代的一种弩机，可连续发射多支箭矢，提高了射击效率。在三国时期，诸葛亮对其进行了改进，增强了军事作战能力，广泛应用于古代战争中，体现了中国在兵器制造方面的创新。,255,https://zh.wikipedia.org/wiki/%E9%80%A3%E5%BC%A9,Repeating Crossbow,military,诸葛亮,提高射击效率，增强军事作战能力，体现兵器制造创新,repeating_crossbow,[]
合成钢,中国古代合成钢工艺最早明确记载于6世纪道家匠人綦母怀文，融合熟铁与铸铁生产钢铁。唐代《新修本草》和明代《天工开物》详细描述了制程，用于锻造镰刀、刀剑等工具，比西方平炉技术更早。,543,https://zh.wikipedia.org/wiki/%E7%82%BC%E9%92%A2,Synthetic Steel,metallurgy,綦母怀文,融合熟铁与铸铁，提升钢铁质量，用于工具和武器制造,synthetic_steel,[]
马鞅,马鞅是中国古代对轭具的重要改进，最早可追溯至公元前1世纪的汉朝砖画。北魏敦煌壁画和唐朝壁画均有描绘，用于马匹或骆驼，提升了牵引效率。,-100,https://zh.wikipedia.org/w/index.php?title=%E9%A9%AC%E9%9E%85&action=edit&redlink=1,Horse Yoke,engineering,汉朝工匠,改进轭具设计，提升马匹牵引效率，促进古代运输发展,horse_yoke,[]
磨车,中国古代机械装置，最早见于后赵时期（319年-351年）陆翙《邺中记》，由解飞和魏猛变发明。磨车是一种兽力车，通过车轮运动带动磨石旋转，用于磨碎小麦等谷物，后失传。明代《远西奇器图说录最》中提及西方类似装置源于中国。,319,https://zh.wikipedia.org/w/index.php?title=%E7%A3%A8%E8%BD%A6&action=edit&redlink=1,Animal-powered Grinding Cart,engineering,解飞和魏猛变,后赵时期发明的兽力磨谷机械，提高谷物加工效率，后失传。,animal_powered_grinding_cart,[]
油墨,油墨最早在中国出现，可追溯至公元前3千年或曹魏时期。宋代沈括首次从石油油烟中提取墨，李时珍记载其光泽如漆，优于松烟墨，推动了书写材料发展。,-3000,https://zh.wikipedia.org/wiki/%E6%B2%B9%E5%A2%A8,Ink from Petroleum Soot,culture,沈括,宋代从石油油烟提取，光泽如漆，推动书写材料发展,ink_from_petroleum_soot,[]
水密隔舱,中国古代造船技术，最早记载见于5世纪《异苑》。宋朝朱彧《萍洲可谈》描述中国船只建有舱壁，1973年出土的宋代沉船考古证实船体分隔成12个防水房室，建造于1277年。西方学者如马可波罗等视其为中国独创，西方造船19世纪才采用此布局。,500,https://zh.wikipedia.org/wiki/%E6%B0%B4%E5%AF%86%E9%9A%94%E8%88%B1,Watertight Compartments,navigation,工匠,提高船舶抗沉性，影响世界造船技术发展,watertight_compartments,[]
火柴,中国古代发明，最早可追溯至公元577年北齐时期，由宫女为生火取暖而创制。早期火柴以松木棒浸硫磺制成，需用火焰点燃，后商品化为'火寸'，记载于五代十国陶谷的《清异录》中。,577,https://zh.wikipedia.org/wiki/%E7%81%AB%E6%9F%B4,Early Chinese Match,craft,宫女,早期火柴发明，用于生火取暖，后发展为商品'火寸'。,early_chinese_match,[]
风筝载人飞行,中国古代风筝载人飞行的历史记载可追溯至北齐时期。据《北史》和《资治通鉴》记载，齐文宣帝曾用死囚进行风筝载人试验，如元黄头飞行约3.2公里。这些事件反映了早期中国对飞行技术的探索。,550,https://zh.wikipedia.org/w/index.php?title=%E9%A3%8E%E7%AD%9D%E8%BD%BD%E4%BA%BA%E9%A3%9E%E8%A1%8C&action=edit&redlink=1,Kite Human Flight,engineering,北齐工匠,早期飞行技术探索，体现中国古代工程创新精神,kite_human_flight,[]
自动门,据《太平广记》记载，隋朝隋炀帝在皇宫观文殿设有私人图书馆，其中书堂入口装有脚踏触发机关，能自动拉开锦幔、半开门扉并开启书橱，展现了中国古代机械技术的创新应用。,618,,Foot-Triggered Automatic Door,engineering,隋朝工匠,隋朝皇宫机械装置，体现古代自动化技术应用,foot_triggered_automatic_door,[]
气瓶,中国古代利用天然气和石油的便携式容器。汉朝起用竹管运输天然气煮盐，唐朝有'火井'记载，宋朝用竹筒装石油照明，清朝方志描述皮囊装天然气提供光和热。,-202,https://zh.wikipedia.org/wiki/%E6%B0%94%E7%93%B6,Ancient Chinese Gas Container,engineering,工匠,利用天然气和石油的便携式容器，促进能源利用与照明技术发展,ancient_chinese_gas_container,[]
纸币,纸币最早在中国唐代出现，源于商家的储金收据。宋代政府为应对铜币短缺，于11世纪早期授权私人银行发行纸币，后于1023年设立机构监管印行，12世纪推广全国，成为世界上最早的纸币体系。,618,https://zh.wikipedia.org/wiki/%E7%BA%B8%E5%B8%81,Paper Money,trade,宋代政府,世界上最早的纸币体系，促进贸易流通，应对货币短缺问题,paper_money,[]
透光镜,中国古代铜镜，唐代《古镜记》记载其浇铸方法，宋代沈括《梦溪笔谈》描述其传家宝。镜面抛光后反射光线时，能将背面花纹投影于光晕中，产生透光效果，得名'透光镜'。沈括推测镜面有细微纹路，虽解释不准确，但揭示了其不透明本质。,800,https://zh.wikipedia.org/wiki/%E5%8F%A4%E9%95%9C,Light-Transmitting Mirror,craft,工匠,唐代记载浇铸方法，宋代沈括描述其透光现象，体现古代铜镜工艺与光学探索。,light_transmitting_mirror,[]
擒纵器,擒纵机构最早用于钟表机械由唐代僧侣一行开发，应用于水力浑象仪，后见于张思训和苏颂的浑仪。中国古代擒纵器利用重力与水力驱动，实现定时击鼓撞钟，不同于西方机械钟的砝码驱动机制。,618,https://zh.wikipedia.org/wiki/%E6%93%92%E7%BA%B5%E5%99%A8,Chinese Escapement Mechanism,engineering,一行,唐代僧侣一行开发，应用于水力浑象仪，实现定时功能，推动古代计时技术发展。,chinese_escapement_mechanism,[]
披水板,中国古代航海技术发明，用于减少风力造成的背风漂移。唐朝李筌在《太白阴经》中首次记载，描述战船使用披水板以保持航向稳定，防止翻船。这一发明体现了古代中国在船舶控制方面的智慧，对后世航海发展有重要影响。,759,https://zh.wikipedia.org/w/index.php?title=%E6%8A%AB%E6%B0%B4%E6%9D%BF&action=edit&redlink=1,Leeboard,navigation,李筌,唐朝战船用于稳定航向，减少背风漂移，提升航海安全性。,leeboard,[]
自行舟,隋朝工匠黄衮为隋炀帝制造水饰，包括机械木俑和自动酒舟，用于宫廷宴会。酒舟在园林石渠中定时运行，呈杯和倒酒木俑自动服务宾客，展示古代中国机械自动化技术。,604,https://zh.wikipedia.org/w/index.php?title=%E8%87%AA%E5%8A%A8%E6%9C%BA%E6%A2%B0%E8%A3%85%E7%BD%AE&action=edit&redlink=1,Automatic Wine Boat with Mechanical Figures,engineering,黄衮,隋朝宫廷自动化机械，展示古代中国工程技艺与娱乐创新,automatic_wine_boat_with_mechanical_figures,[]
纸牌,纸牌游戏在中国历史悠久，唐代已有'叶子戏'的记载，见于苏鹗《杜杨杂编》。宋代欧阳修在《归田录》中提及纸牌自唐中叶流行，与纸张发展相关。明代纸牌上常出现小说角色，如《水浒传》。,868,https://zh.wikipedia.org/wiki/%E6%89%91%E5%85%8B%E7%89%8C,Playing Cards,culture,唐代工匠,唐代已有叶子戏记载，宋代流行，明代融入小说角色，丰富娱乐文化,playing_cards,[]
豆腐,豆腐是中国传统食品，传统上归功于西汉淮南王刘安发明。最早明确记载豆腐的文献是北宋初期的《清异录》，而最早详细记录制作方法的是李时珍的《本草纲目》。豆腐以大豆为原料，通过凝结制成，在中国饮食文化中具有重要地位。,960,https://zh.wikipedia.org/wiki/%E8%B1%86%E8%85%90,Tofu,culture,刘安,以大豆为原料的传统食品，丰富中国饮食文化,tofu,[]
菜单,菜单在中国宋代（公元960-1279年）兴起，源于城市商业发展，商人阶层在外就餐需求增加，饮食业者为满足多样口味而创制，促进了餐饮文化的繁荣。,960,https://zh.wikipedia.org/wiki/%E8%8F%9C%E5%8D%95,Menu in Song Dynasty,culture,饮食业者,满足城市商业需求，促进餐饮文化繁荣,menu_in_song_dynasty,[]
链条传送,不间断动力链条传动在11世纪的中国首次出现，可能灵感源于汉代已知的链泵。宋朝官员苏颂于1090年在开封的水运仪象台中应用此传动装置，用于旋转浑仪和驱动报时人俑，展示了古代中国机械工程的高超技艺。,1090,https://zh.wikipedia.org/w/index.php?title=%E9%93%BE%E6%9D%A1%E4%BC%A0%E5%8A%A8&action=edit&redlink=1,Continuous Chain Drive,engineering,苏颂,宋代应用于水运仪象台，展示古代中国机械工程的高超技艺,continuous_chain_drive,[]
斗门水闸,中国古代水利工程发明。宋朝初期乔维岳发明双门斗门水闸，使船只能在运河水道安全航行。沈括在《梦溪笔谈》中记载其经济与交通便利，推动了宋代航运发展。,984,https://zh.wikipedia.org/w/index.php?title=%E6%96%97%E9%97%A8%E6%B0%B4%E9%97%B8&action=edit&redlink=1,Double Gate Sluice,engineering,乔维岳,宋代航运关键发明，提升运河航行安全与效率,double_gate_sluice,[]
烟花,烟花起源于中国宋朝，以早期火药为基础制成，最初为竹筒装火药的形式。当时已有市场销售和宫廷表演，如1183年军事操演中施放大型烟花。烟花技术后应用于战争，如火箭推进装置。,960,https://zh.wikipedia.org/wiki/%E7%83%9F%E8%8A%B1,Fireworks,craft,宋朝工匠,源于火药技术，用于庆典表演，后应用于军事火箭推进。,fireworks,[]
火焰喷射器,中国古代火焰喷射器，利用双活塞注射器技术压缩猛火油喷出火焰。猛火油在五代十国时期首次用于实战，宋朝《武经总要》详细记载了该装置，并使用黑火药引信启动，区别于希腊版本需外部点火。,932,https://zh.wikipedia.org/w/index.php?title=%E5%8F%8C%E6%B4%BB%E5%A1%9E%E3%80%81%E7%81%AB%E8%8D%AF%E5%90%AF%E5%8A%A8%E7%9A%84%E7%81%AB%E7%84%B0%E5%96%B7%E5%B0%84%E5%99%A8&action=edit&redlink=1,Double-Piston Gunpowder Flamethrower,military,宋朝工匠,五代十国首次实战使用猛火油，宋朝改进为火药启动，提升军事攻击效率。,double_piston_gunpowder_flamethrower,[]
手铳,手铳是中国古代的一种金属管火器，最早可追溯至公元13世纪。据《元史》记载，1288年元朝女真族将领李庭曾使用'铳卒'，这是已知最早的相关文字记录。黑龙江出土的元代青铜手铳长约0.3米，重约3.6公斤，具有火门和均匀内膛设计，能承受爆炸力，体现了早期火器技术。,1288,https://zh.wikipedia.org/wiki/%E6%89%8B%E9%93%B3,Hand Cannon,military,元朝工匠,早期金属管火器，推动火器技术发展，影响军事变革,hand_cannon,[]
地雷,中国古代地雷最早记载于宋朝，公元1277年部将娄铃辖使用'火炮'对抗入侵。元末明初的《火龙经》详细描述了球形铸铁地雷，由焦玉和刘基记述，其导火线通过敌人触发的机关点燃，推动了中国古代军事技术的发展。,1277,https://zh.wikipedia.org/wiki/%E5%9C%B0%E9%9B%B7,Landmine,military,工匠,推动中国古代军事技术发展，增强防御能力,landmine,[]
印刷地图,中国最早印刷地图出现在宋朝（960-1279年）。《十五国风地理之图》由杨甲编入1155年的《六经图》，标志着地图印刷技术的早期应用。,960,https://zh.wikipedia.org/w/index.php?title=%E5%88%B6%E5%9B%BE%E5%8F%B2&action=edit&redlink=1,Earliest Printed Map,culture,杨甲,标志地图印刷技术早期应用，推动地理知识传播,earliest_printed_map,[]
火龙经,《火龙经》是明代焦玉和刘基编纂的军事著作，记载了'神火飞鸦'等火箭武器。神火飞鸦采用竹筐和胶纸制成鸟形，配备火药和火箭推进，用于远程攻击敌营或船只，体现了中国古代火箭技术的创新。,1368,https://zh.wikipedia.org/wiki/%E7%81%AB%E9%BE%99%E7%BB%8F#火箭,Fire Dragon Manual,military,焦玉和刘基,记载火箭武器如神火飞鸦，推动中国古代火箭技术发展,fire_dragon_manual,[]
水雷,中国古代军事著作《火龙经》记载了水雷，由焦玉和刘基描述，用于河川湖海，由熟铁制成，装在牛脬内，使用定时装置和防水保护。后来宋应星在《天工开物》中改进了设计，用生漆皮囊和拉索引爆机制。,1375,https://zh.wikipedia.org/wiki/%E6%B0%B4%E9%9B%B7,Naval Mine,military,焦玉和刘基,早期水雷设计，用于河川湖海，提升古代水战防御能力,naval_mine,[]
猪鬃牙刷,中国明朝时期（约1498年）发明了使用猪鬃刷毛的牙刷，明孝宗在位期间已有使用记录，体现了古代中国的口腔卫生实践。,1490,https://zh.wikipedia.org/wiki/%E7%89%99%E5%88%B7,Pig Bristle Toothbrush,culture,明朝工匠,明代已有使用记录，体现古代中国口腔卫生实践。,pig_bristle_toothbrush,[]
麻将,麻将是一种起源于中国的牌类游戏。据传由清朝宁波官员陈鱼门发明，其前身可追溯至唐代的卡片游戏和明代的马吊牌，后演变为现代形式。,1644,https://zh.wikipedia.org/wiki/%E9%BA%BB%E5%B0%86,Mahjong,culture,陈鱼门,源自中国牌类游戏，融合历史元素，成为流行文化象征,mahjong,[]
青蒿素,青蒿素是从黄花蒿中提取的抗疟疾药物。中国古代医书《肘后备急方》记载了相关方剂。1972年，中国科学家屠呦呦领导的团队发现并验证了其抗疟效果，对全球疟疾治疗有重要贡献。,1972,https://zh.wikipedia.org/wiki/%E9%9D%92%E8%92%BF%E7%B4%A0,Artemisinin Antimalarial Properties,medicine,屠呦呦团队,从传统方剂中提取验证，革新全球疟疾治疗，挽救无数生命,artemisinin_antimalarial_properties,[]
杂交水稻,1973年在中国南方出现，由袁隆平领导的农业科学家团队开发。这种新型水稻提高了产量，在耕地有限的情况下具有重要价值，被许多亚洲和非洲国家采用。,1973,https://zh.wikipedia.org/wiki/%E6%9D%82%E4%BA%A4%E6%B0%B4%E7%A8%BB,Hybrid Rice Varieties,agriculture,袁隆平团队,提高水稻产量，在耕地有限条件下保障粮食安全，推广至亚非多国。,hybrid_rice_varieties,[]
玉礼器,中国古代玉礼器在新石器时代广泛出现，如兴隆洼、红山、良渚等文化遗址出土玉器，包括圭、璋、璧、琮、琥、璜六种形状，记载于《周礼》，用于祭祀和礼仪活动，体现早期文明的社会等级和宗教信仰。,-6200,https://zh.wikipedia.org/wiki/%E7%8E%89%E5%99%A8,Jade Ritual Objects,culture,先民,新石器时代用于祭祀礼仪，体现早期社会等级与宗教信仰,jade_ritual_objects,[]
长方形棺椁,中国古代长方形棺椁起源早，陕西半坡遗址发现前5000年木棺，山东大汶口文化有木椁。新石器时代良渚文化出现一棺一椁，龙山文化发展至三重棺，彰显身份地位。战国时期曾侯乙墓沿用双层结构，体现礼制传统。,-5000,https://zh.wikipedia.org/w/index.php?title=%E9%95%BF%E6%96%B9%E5%BD%A2%E6%A3%BA%E6%A4%81&action=edit&redlink=1,Rectangular Coffin and Outer Coffin,culture,先民,新石器时代起源，体现早期丧葬文化和身份等级制度,rectangular_coffin_and_outer_coffin,[]
鼍鼓,中国古代新石器时代鼓类乐器，以扬子鳄皮覆盖木框制成。考古发现于大汶口、龙山、陶寺等文化遗址，可追溯至前4100年。在《诗经》等古籍中记载，鼍鼓用于祭祀、礼仪和迎神驱鬼，体现了早期中国的仪礼文化。,-5500,https://zh.wikipedia.org/wiki/%E9%BC%93,Alligator Drum,culture,先民,新石器时代祭祀乐器，体现早期中国仪礼文化,alligator_drum,[]
生漆,生漆是中国古代利用漆树树皮乳胶制成的天然涂料。新石器时代河姆渡文化出土的红漆碗为最早漆器，商周时期漆器工艺成熟，用于装饰和棺木。汉朝设有官方作坊，漆器题献产地和日期，如四川成都制造，对研究古代工艺有重要意义。,-5000,https://zh.wikipedia.org/wiki/%E7%94%9F%E6%BC%86,Raw Lacquer,craft,先民,新石器时代已使用，推动漆器工艺发展，成为重要装饰材料,raw_lacquer,[]
餐叉,叉在中国的使用可追溯至早期青铜时代。考古学家在齐家文化（前2400年-前1900年）墓地发现骨叉，商朝及后世墓葬中也常见叉子陪葬品，表明其在中国古代饮食文化中的悠久历史。,-2400,https://zh.wikipedia.org/wiki/%E9%A4%90%E5%8F%89,Ancient Chinese Fork,culture,先民,齐家文化已有骨叉，商朝墓葬常见，体现古代饮食文化悠久历史,ancient_chinese_fork,[]
